COMBINED_TRACT,COMBINED_BLOCK,pop18_44,pop45_64,pop65plus,pop_total,PSU_MOS_composite,PSU_prob,SSU_MOS_composite,SSU_prob
24033801709,240338017094,222,192,122,536,5.921131527,0.161485405,0.780378082,0.131795431
24033801802,240338018021,313,166,89,568,4.378299517,0.119408169,0.764209405,0.174544798
24033801802,240338018022,758,489,238,1485,4.378299517,0.119408169,2.021453597,0.461698335
24033801802,240338018023,444,368,267,1079,4.378299517,0.119408169,1.592636514,0.363756867
24033801807,240338018071,617,286,125,1028,5.200706438,0.141837448,1.332707997,0.256255186
24033801807,240338018072,745,604,411,1760,5.200706438,0.141837448,2.567677467,0.493717055
24033801807,240338018073,364,289,224,877,5.200706438,0.141837448,1.300320974,0.250027759
24033801808,240338018081,381,268,155,804,4.076751704,0.111184137,1.128778727,0.276881893
24033801808,240338018082,320,187,174,681,4.076751704,0.111184137,0.99843548,0.244909563
24033801808,240338018083,790,473,202,1465,4.076751704,0.111184137,1.949537496,0.478208544
24033801809,240338018091,304,256,209,769,4.994940926,0.136225662,1.157029886,0.231640354
24033801809,240338018092,477,386,333,1196,4.994940926,0.136225662,1.80594255,0.361554336
24033801809,240338018093,90,65,64,219,4.994940926,0.136225662,0.332820235,0.066631466
24033801809,240338018094,643,398,205,1246,4.994940926,0.136225662,1.699148255,0.340173844
24033801901,240338019011,268,240,179,687,6.193284244,0.168907752,1.027242937,0.165864006
24033801901,240338019012,491,430,331,1252,6.193284244,0.168907752,1.875931091,0.302897625
24033801901,240338019013,389,285,272,946,6.193284244,0.168907752,1.433259009,0.231421481
24033801901,240338019014,477,468,307,1252,6.193284244,0.168907752,1.856851207,0.299816888
24033801904,240338019041,929,489,222,1640,3.808363825,0.103864468,2.164855099,0.568447553
24033801904,240338019042,416,398,284,1098,3.808363825,0.103864468,1.643508726,0.431552447
24033801905,240338019051,498,456,346,1300,7.578313793,0.206681285,1.953686442,0.257799623
24033801905,240338019052,2520,1359,477,4356,7.578313793,0.206681285,5.624627351,0.742200377
24033801906,240338019061,542,341,116,999,2.410288055,0.065735129,1.307274208,0.542372604
24033801906,240338019062,350,268,158,776,2.410288055,0.065735129,1.103013847,0.457627396
24033801907,240338018011,840,482,221,1543,6.770727615,0.184656208,2.058940372,0.304094403
24033801907,240338019071,334,245,191,770,6.770727615,0.184656208,1.131786505,0.167158771
24033801907,240338019072,256,257,343,856,6.770727615,0.184656208,1.420212234,0.209757697
24033801907,240338019073,540,472,406,1418,6.770727615,0.184656208,2.159788503,0.318989129
24033801908,240338019081,1057,584,261,1902,3.758341578,0.102500225,2.520335868,0.670597873
24033801908,240338019082,532,339,92,963,3.758341578,0.102500225,1.23800571,0.329402127
24033802001,240338020011,680,429,131,1240,5.633388726,0.153637874,1.607821435,0.285409283
24033802001,240338020012,992,510,215,1717,5.633388726,0.153637874,2.243677644,0.398282056
24033802001,240338020013,624,405,245,1274,5.633388726,0.153637874,1.781889647,0.316308661
24033802002,240338020021,202,85,48,335,4.117754942,0.112302408,0.441075716,0.107115582
24033802002,240338020022,535,426,186,1147,4.117754942,0.112302408,1.578783009,0.383408685
24033802002,240338020023,307,189,210,706,4.117754942,0.112302408,1.071386088,0.260186947
24033802002,240338020024,296,252,159,707,4.117754942,0.112302408,1.026510128,0.249288785
24033802103,240338021031,474,497,309,1280,3.642389968,0.099337908,1.897797202,0.521030757
24033802103,240338021032,581,483,203,1267,3.642389968,0.099337908,1.744592766,0.478969243
24033802104,240338021041,333,263,146,742,2.552101895,0.069602779,1.050255823,0.411525819
24033802104,240338021042,437,401,212,1050,2.552101895,0.069602779,1.501846072,0.588474181
24033802106,240338021061,486,197,66,749,4.475875638,0.122069336,0.935569734,0.209024962
24033802106,240338021062,1114,663,145,1922,4.475875638,0.122069336,2.417481577,0.540113661
24033802106,240338021063,311,294,169,774,4.475875638,0.122069336,1.122824327,0.250861377
24033802107,240338021071,334,235,127,696,3.673649616,0.100190444,0.968904584,0.263744419
24033802107,240338021072,625,261,64,950,3.673649616,0.100190444,1.164872259,0.317088558
24033802107,240338021073,428,204,44,676,3.673649616,0.100190444,0.832481076,0.22660873
24033802107,240338021074,342,160,55,557,3.673649616,0.100190444,0.707391697,0.192558292
24033802203,240338022031,770,581,282,1633,5.409320104,0.147526912,2.261921154,0.418152579
24033802203,240338022032,441,357,234,1032,5.409320104,0.147526912,1.497530142,0.276842582
